gene_name	GeneOntologyIDs
LOC111116412	GO:0016020; GO:0016020; GO:0022841; GO:0030322; GO:0071805; GO:0071805
LOC111116590	GO:0005044
LOC111117505	GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0006357; GO:0030182; GO:0048468
LOC111118262	GO:0005524; GO:0016887
LOC111118411	GO:0005737; GO:0006508; GO:0006508; GO:0006915; GO:0097200
LOC111118468	GO:0005515
LOC111118472	GO:0005515; GO:0005634; GO:0006211; GO:0045944; GO:0070579; GO:0070989; GO:0080111
LOC111118776	GO:0008270; GO:0031462
LOC111118976	GO:0005764; GO:0006665
LOC111119082	GO:0005509; GO:0005886; GO:0007157; GO:0032991; GO:0045197
LOC111119347	GO:0005789; GO:0006506; GO:0006506; GO:0051267
LOC111119838	GO:0004568; GO:0005576; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0008061
LOC111119914	GO:0005615; GO:0007165; GO:0009986
LOC111120025	GO:0005515; GO:0005634
LOC111120511	GO:0000976; GO:0003682; GO:0005669; GO:0006367; GO:0008237; GO:0008270; GO:0016251
LOC111120526	GO:0005262; GO:0005509; GO:0005515; GO:0016020; GO:0016020; GO:0050982
LOC111120557	GO:0000028; GO:0000462; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627; GO:0048027; GO:0070181
LOC111120568	GO:0004621; GO:0004621; GO:0005576; GO:0005615; GO:0006507; GO:0031012
LOC111121064	GO:0005739
LOC111121327	GO:0005109; GO:0005125; GO:0005576; GO:0005576; GO:0005615; GO:0007275; GO:0007275; GO:0030182; GO:0045165; GO:0060070
LOC111121590	GO:0000978; GO:0000981; GO:0005515; GO:0005737; GO:0005737; GO:0006357; GO:0006954; GO:0007249; GO:0033554; GO:0034097; GO:0038061; GO:0045087
LOC111121907	GO:0003755
LOC111121958	GO:0000027; GO:0006364; GO:0019843; GO:0019843; GO:0030687
LOC111122175	GO:0005509; GO:0016020
LOC111122190	GO:0005789; GO:0006616; GO:0006616; GO:0045048
LOC111122350	GO:0005201; GO:0005604; GO:0007411
LOC111122417	GO:0005634
LOC111122725	GO:0005813; GO:0005814; GO:0007098; GO:0045162; GO:0060271
LOC111123031	GO:0000049; GO:0002098; GO:0005634; GO:0005737; GO:0008757
LOC111123187	GO:0004888; GO:0004888; GO:0005230; GO:0007165; GO:0007268; GO:0016020; GO:0016020; GO:0030594; GO:0034220; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877
LOC111123365	GO:0000978; GO:0000981; GO:0005634; GO:0005634; GO:0005667; GO:0005737; GO:0006357; GO:0034751; GO:0046983
LOC111123673	GO:0000287; GO:0005524; GO:0005886; GO:0016887; GO:0045332; GO:0140326; GO:0140326
LOC111124392	GO:0005576; GO:0008061
LOC111124421	GO:0005509; GO:0005515; GO:0007160
LOC111124594	GO:0005515
LOC111124667	GO:0003676; GO:0005634; GO:0005634; GO:0008270
LOC111124749	GO:0002039; GO:0005634; GO:0008270; GO:0016279; GO:0034968; GO:0042054; GO:0042054
LOC111124765	GO:0005615; GO:0007160
LOC111124961	GO:0005515
LOC111125450	GO:0005886; GO:0031175
LOC111125533	GO:0000398; GO:0003723; GO:0003723; GO:0005688; GO:0046540; GO:1990726
LOC111125661	GO:0016020; GO:0016020; GO:0035725
LOC111125663	GO:0005096; GO:0005096; GO:0005737; GO:0051056; GO:0090630
LOC111125749	GO:0005515; GO:0043041
LOC111125856	GO:0005096; GO:0007165; GO:0008289; GO:0030036; GO:0035023
LOC111126560	GO:0005515
LOC111126761	GO:0004930; GO:0005102; GO:0005576; GO:0009986; GO:0016020; GO:0048856
LOC111127220	GO:0004842; GO:0005515; GO:0008270; GO:0016567
LOC111127462	GO:0004722; GO:0006470
LOC111127799	GO:0003676; GO:0004439; GO:0046856; GO:0046856; GO:0048488
LOC111128396	GO:0005261; GO:0016020; GO:0051262; GO:0098655
LOC111129221	GO:0004672; GO:0005524; GO:0006468
LOC111129264	GO:0000978; GO:0000981; GO:0005634; GO:0006357
LOC111129890	GO:0000159; GO:0000159; GO:0005634; GO:0005829; GO:0006470; GO:0007165; GO:0007165; GO:0072542
LOC111130064	GO:0001755; GO:0005615; GO:0007411; GO:0030215; GO:0030335; GO:0045499; GO:0048843; GO:0050919; GO:0071526
LOC111130065	GO:0000184; GO:0005515; GO:0005697; GO:0042162; GO:0070034
LOC111130101	GO:0003677; GO:0003677; GO:0006352; GO:0006352; GO:0006470; GO:0008138; GO:0016251
LOC111130344	GO:0000978; GO:0000981; GO:0005634; GO:0006357
LOC111130626	GO:0005178; GO:0007160; GO:0007229; GO:0030055
LOC111130702	GO:0005634; GO:0006325
LOC111131099	GO:0005509; GO:0005516; GO:0005543; GO:0005886; GO:0007528; GO:0016081; GO:0016082; GO:0016188; GO:0017075; GO:0019992; GO:0030672; GO:0031594; GO:0035249; GO:0042734; GO:0043195; GO:0061789; GO:0098831; GO:0099525
LOC111131406	GO:0000381; GO:0000398; GO:0003729; GO:0005634; GO:0005737
LOC111132132	GO:0005730; GO:0030490; GO:0030692; GO:0032040; GO:0032040
LOC111134104	GO:0004089; GO:0004089; GO:0005886; GO:0008270; GO:0008270
LOC111134195	GO:0004997; GO:0004997; GO:0007186; GO:0007186; GO:0016020; GO:0016020
LOC111134518	GO:0019319; GO:0050659
LOC111134663	GO:0005198; GO:0006886; GO:0006898; GO:0030130; GO:0030132; GO:0032051; GO:0071439
LOC111135296	GO:0000977; GO:0000981; GO:0005515; GO:0006357
LOC111135587	GO:0005769; GO:0043812; GO:0045334; GO:0046856; GO:2001135
LOC111135721	GO:0005220; GO:0005783; GO:0016020; GO:0070588; GO:0070679
LOC111136261	GO:0005515; GO:0007274
LOC111136420	GO:0005886; GO:0006751; GO:0006751; GO:0036374; GO:0036374
LOC111136699	GO:0007158; GO:0007268; GO:0009986; GO:0038023; GO:0042043; GO:0045202; GO:0045211; GO:0048488; GO:0050804; GO:0097104; GO:0097105
LOC111136960	GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0006182; GO:0006468; GO:0007168; GO:0035556
LOC111137079	GO:0003729; GO:0005634; GO:0043484
LOC111137126	GO:0004843; GO:0071108; GO:1990380
LOC111137295	GO:0005515; GO:0005524; GO:0140658
LOC111137712	GO:0005793; GO:0005794; GO:0005801; GO:0015297; GO:0015786
LOC111137922	GO:0004888; GO:0004888; GO:0005230; GO:0007165; GO:0007268; GO:0016020; GO:0016020; GO:0030594; GO:0034220; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877
LOC111137981	GO:0005737; GO:0007169; GO:0043410
LOC111138053	GO:0004197; GO:0004197; GO:0006508; GO:0006508; GO:0042981
LOC111138435	GO:0042254; GO:0042256
